Varietal,Country,Region,Whisky Style,Brand Name,Name,Age,Alcohol Volume (%),Price ($ per bottle),Peated (Y/N),Rating ( /10),
Scotch Whisky,Scotland,Islay,Single Malt,Lagavulin,Lagavulin 8 Year Old Single Malt Scotch Whisky,8,48,95,Y,1,
Scotch Whisky,Scotland,Speyside,Single Malt,Glenfiddich,Glenfiddich 12 Year Old Single Malt Scotch Whisky,12,40,64,N,5,
Scotch Whisky,Scotland,Highland,Single Malt,Glenmorangie,Glenmorangie The Original Single Malt Scotch Whisky 10 Year Old,10,40,84,N,5,
Scotch Whisky,Scotland,Islay,Single Malt,Laphroaig,Laphroaig Select Cask Scotch Whisky,-,40,92,Y,8,
Scotch Whisky,Scotland,Islay,Single Malt,Bunnahabhain,Bunnahabhain 12 Year Old Single Malt Scotch Whisky,12,46.3,100,N,6,
Whisky,India,-,Single Malt,Paul John,Paul John Brilliance Single Malt Indian Whisky ,-,46,80,N,7,?
Scotch Whisky,Scotland,Speyside,Single Malt,Aberlour,Aberlour 12 Year Old Double Cask Single Malt Scotch Whisky,12,40,95,N,9,
Scotch Whisky,Scotland,Highland,Single Malt,Deanston,Deanston 12YO Single Malt Whisky,12,46.3,85,N,-,
Scotch Whisky,Scotland,Speyside,Single Malt,Cragganmore,Cragganmore 12 Year Old Single Malt Scotch Whisky,12,40,87,N,6,
Scotch Whisky,Scotland,Islay,Single Malt,Laphroaig,Laphroaig 10 Year Old Single Malt Scotch Whisky,10,40,80,Y,7,
Scotch Whisky,Scotland,Highland,Single Malt,Highland Park,Highland Park 12 Year Old Single Malt Scotch Whisky,12,40,87,Y,-,
Scotch Whisky,Scotland,Highland,Single Malt,Glenmorangie,Glenmorangie 12 Year Old The Quinta Ruban Single Malt Scotch Whisky,12,46,100,Y/N,7,
Scotch Whisky,Scotland,Speyside,Single Malt,Glenlivet ,The Glenlivet Nàdurra Peated Whisky Cask Finish,-,61.5,120,Y/N,7,
Scotch Whisky,Scotland,Highland,Single Malt,Glendronach,The Glendronach 12 Year Old Single Malt Scotch Whisky,12,43,90,Y,7,
Scotch Whisky,Scotland,Speyside,Single Malt,The BenRiach,The BenRiach 10 Year Old Single Malt Scotch Whisky,10,43,70,N,7,
Scotch Whisky,Scotland,The Isles,Single Malt,Talisker ,Talisker 10 Year Old Single Malt Scotch Whisky,10,45.8,75,Y,6,
Scotch Whisky,Scotland,Islay,Single Malt,Kilchoman,Kilchoman Sanaig Single Islay Malt Scotch Whisky,-,46,120,Y,9,
Scotch Whisky,Scotland,Highland,Single Malt,Oban,Oban 14 Year Old Single Malt Scotch Whisky,14,43,103,Y,8,
Scotch Whisky,Scotland,Highland,Single Malt,Dalwhinnie,Dalwhinnie 15 Year Old Highland Single Malt Scotch Whisky,15,43,100,N,9,
Scotch Whisky,Scotland,Speyside,Single Malt,Glenrothes,Glenrothes Vintage Reserve 12YO Scotch Whisky,12,40,100,N,7.5,
Scotch Whisky,Scotland,Islay,Single Malt,Kilchoman,Kilchoman Machir Bay Islay Single Malt Scotch Whisky,-,46,100,Y,5,
Scotch Whisky,Scotland,Speyside,Single Malt,Balvenie,The Balvenie 12 Year Old DoubleWood Single Malt Scotch Whisky,12,40,85,N,9,
Scotch Whisky,Scotland,The Isles,Single Malt,Talisker ,Talisker Port Ruighe Scotch Whisky,-,45.8,109,Y,5.5,?
Scotch Whisky,Scotland,Speyside,Single Malt,Macallan,The Macallan 12 Year Old Triple Cask Matured Single Malt Scotch Whisky,12,40,119,N,7,
Scotch Whisky,Scotland,Islay,Single Malt,Bowmore,Bowmore 12 Year Old Scotch Whisky,12,40,92,Y,6,
Scotch Whisky,Scotland,Highland,Single Malt,Tomatin,Tomatin 14 Year Old Port Wood Finish,14,46,95,N,6,
Scotch Whisky,Scotland,Speyside,Single Malt,Glenfiddich,Glenfiddich 15 Year Old Single Malt Scotch Whisky,15,40,95,N,6,
Scotch Whisky,Scotland,Highland,Single Malt,Glengoyne,Glengoyne 15 Year Old Single Malt Scotch Whisky,15,43,118,N,5,
Scotch Whisky,Scotland,Lowland,Single Malt,Auchentoshan,Auchentoshan Three Wood Scotch Whisky,-,43,93,N,7,
Whisky,Taiwan,-,Single Malt,Kavlan,Kavalan Solist ex-Bourbon Cask,-,57.8,200,N,-,?
Scotch Whisky,Scotland,Islay,Single Malt,Ardbeg,Ardbeg Traigh Bhan 19 Year Old Single Malt Scotch Whisky ,19,46.2,300,N,-,?
Japanese Whisky,Japan,-,Blended Whisky,Ichiro's,Ichiro's Malt & Grain Blended Whisky,-,46,175,N,7,
Scotch Whisky,Scotland,Lowland,Single Malt,Bladnoch,Bladnoch Adela 15 Year Old Single Malt Scotch Whisky,15,46.7,180,N,6.5,
Scotch Whisky,Scotland,Speyside,Single Malt,Glenfarclas ,Glenfarclas 21 Year Old Single Malt Scotch Whisky,21,43,198,Y,6.5,?
Scotch Whisky,Scotland,Highland,Single Malt,Glenmorangie,Glenmorangie 18 Year Old Single Malt Scotch Whisky,18,43,130,N,9,
Scotch Whisky,Scotland,Islay,Single Malt,Ardbeg,Ardbeg Corryvreckan Scotch Whisky,-,57.1,150,Y,8,
Irish Whisky,Ireland,-,Single Malt,The Irishman,The Irishman Single Malt Irish Whiskey,-,40,84,N,7,
Irish Whisky,Ireland,-,Single Malt,Connemara,Connemara Peated Single Malt Irish Whiskey,-,40,80,Y,8,
Scotch Whisky,Scotland,Islay,Single Malt,Caol Ila,Caol Ila 12 Year Old Scotch Whisky,12,43,92,Y,7,
Scotch Whisky,Scotland,The Isles,Single Malt,Talisker ,Talisker Storm Scotch Whisky,-,45.8,90,N,6,
